itemname,key,delay,value_type,description,application,discovery_rule,template,units
CPU entitled capacity consumed,"system.stat[cpu,ec]",1m,0,,CPU,,Template OS AIX,
CPU idle time,"system.stat[cpu,id]",1m,0,,CPU,,Template OS AIX,%
CPU logical processor utilization,"system.stat[cpu,lbusy]",1m,0,,CPU,,Template OS AIX,%
CPU number of physical processors consumed,"system.stat[cpu,pc]",1m,0,,CPU,,Template OS AIX,
CPU system time,"system.stat[cpu,sy]",1m,0,,CPU,,Template OS AIX,%
CPU user time,"system.stat[cpu,us]",1m,0,,CPU,,Template OS AIX,%
CPU iowait time,"system.stat[cpu,wa]",1m,0,,CPU,,Template OS AIX,%
Amount of data transferred,"system.stat[disk,bps]",1m,0,,Filesystems,,Template OS AIX,B
Number of transfers,"system.stat[disk,tps]",1m,0,,Filesystems,,Template OS AIX,
Processor units is entitled to receive,system.stat[ent],1h,0,,CPU,,Template OS AIX,
Kernel thread context switches,"system.stat[faults,cs]",1m,0,,CPU,,Template OS AIX,
Device interrupts,"system.stat[faults,in]",1m,0,,CPU,,Template OS AIX,
System calls,"system.stat[faults,sy]",1m,0,,CPU,,Template OS AIX,
Length of the swap queue,"system.stat[kthr,b]",1m,0,,Memory,,Template OS AIX,
Length of the run queue,"system.stat[kthr,r]",1m,0,,CPU,,Template OS AIX,
Active virtual pages,"system.stat[memory,avm]",1m,3,,Memory,,Template OS AIX,
Free real memory,"system.stat[memory,fre]",1m,3,,Memory,,Template OS AIX,
File page-ins per second,"system.stat[page,fi]",1m,0,,Memory,,Template OS AIX,
File page-outs per second,"system.stat[page,fo]",1m,0,,Memory,,Template OS AIX,
Pages freed (page replacement),"system.stat[page,fr]",1m,0,,Memory,,Template OS AIX,
Pages paged in from paging space,"system.stat[page,pi]",1m,0,,Memory,,Template OS AIX,
Pages paged out to paging space,"system.stat[page,po]",1m,0,,Memory,,Template OS AIX,
Pages scanned by page-replacement algorithm,"system.stat[page,sr]",1m,0,,Memory,,Template OS AIX,
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS AIX,
System uptime,system.uptime,10m,3,,General,,Template OS AIX,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS AIX,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1h,3,,Security,,Template OS AIX,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS AIX,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS AIX,B
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS FreeBSD,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS FreeBSD,
Number of running processes,"proc.num[,,run]",1m,3,Number of processes in running state.,Processes,,Template OS FreeBSD,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS FreeBSD,
Host boot time,system.boottime,10m,3,,General,,Template OS FreeBSD,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS FreeBSD,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS FreeBSD,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS FreeBSD,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS FreeBSD,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS FreeBSD,sps
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS FreeBSD,%
CPU interrupt time,"system.cpu.util[,interrupt]",1m,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS FreeBSD,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS FreeBSD,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS FreeBSD,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS FreeBSD,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS FreeBSD,
Host local time,system.localtime,1m,3,,General,,Template OS FreeBSD,unixtime
Free swap space,"system.swap.size[,free]",1m,3,,Memory,,Template OS FreeBSD,B
Free swap space in %,"system.swap.size[,pfree]",1m,0,,Memory,,Template OS FreeBSD,%
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS FreeBSD,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS FreeBSD,
System uptime,system.uptime,10m,3,,General,,Template OS FreeBSD,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS FreeBSD,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1h,3,,Security,,Template OS FreeBSD,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS FreeBSD,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS FreeBSD,B
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS HP-UX,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS HP-UX,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS HP-UX,
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS HP-UX,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS HP-UX,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS HP-UX,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS HP-UX,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS HP-UX,
Host local time,system.localtime,1m,3,,General,,Template OS HP-UX,unixtime
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS HP-UX,
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS HP-UX,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1h,3,,Security,,Template OS HP-UX,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS HP-UX,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS HP-UX,B
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux,
ceph-droped-in-teams-cls,"net.if.in[teams-cls,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-in-teams-pub,"net.if.in[teams-pub,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-in-teamscls,"net.if.in[teamscls,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-in2-teamspub,"net.if.in[teamspub,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-out-teams-cls,"net.if.out[teams-cls,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-out-teams-pub,"net.if.out[teams-pub,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-out-teamscls,"net.if.out[teamscls,dropped]",30s,3,,Network interfaces,,Template OS Linux,
ceph-droped-out2-teamspub,"net.if.out[teamspub,dropped]",30s,3,,Network interfaces,,Template OS Linux,
Number of running processes,"proc.num[,,run]",1s,3,Number of processes in running state.,Processes,,Template OS Linux,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS Linux,
Host boot time,system.boottime,10m,3,,General,,Template OS Linux,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS Linux,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS Linux,sps
CPU guest time,"system.cpu.util[,guest]",1m,0,The time spent running a virtual CPU for guest operating systems,CPU,,Template OS Linux,%
CPU guest nice time,"system.cpu.util[,guest_nice]",1m,0,The time spent running a niced guest (virtual CPU for guest operating systems),CPU,,Template OS Linux,%
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS Linux,%
CPU interrupt time,"system.cpu.util[,interrupt]",1m,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS Linux,%
CPU iowait time,"system.cpu.util[,iowait]",1m,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OS Linux,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS Linux,%
CPU softirq time,"system.cpu.util[,softirq]",1m,0,The amount of time the CPU has been servicing software interrupts.,CPU,,Template OS Linux,%
CPU steal time,"system.cpu.util[,steal]",1m,0,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,CPU,,Template OS Linux,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS Linux,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS Linux,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS Linux,
Host local time,system.localtime,1m,3,,General,,Template OS Linux,unixtime
Free swap space,"system.swap.size[,free]",1m,3,,Memory,,Template OS Linux,B
Free swap space in %,"system.swap.size[,pfree]",1m,0,,Memory,,Template OS Linux,%
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS Linux,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS Linux,
System uptime,system.uptime,10m,3,,General,,Template OS Linux,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS Linux,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1s,3,,Security,,Template OS Linux,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS Linux,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Linux,B
Host name of zabbix_agentd running,agent.hostname,1h,1,,Zabbix agent,,Template OS Linux APM,
Agent ping,agent.ping,1m,3,The agent always returns 1 for this item. It could be used in combination with nodata() for availability check.,Zabbix agent,,Template OS Linux APM,
Version of zabbix_agent(d) running,agent.version,1h,1,,Zabbix agent,,Template OS Linux APM,
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux APM,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux APM,
Number of running processes,"proc.num[,,run]",1s,3,Number of processes in running state.,Processes,,Template OS Linux APM,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS Linux APM,
Host boot time,system.boottime,10m,3,,General,,Template OS Linux APM,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS Linux APM,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux APM,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux APM,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux APM,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS Linux APM,sps
CPU guest time,"system.cpu.util[,guest]",1m,0,The time spent running a virtual CPU for guest operating systems,CPU,,Template OS Linux APM,%
CPU guest nice time,"system.cpu.util[,guest_nice]",1m,0,The time spent running a niced guest (virtual CPU for guest operating systems),CPU,,Template OS Linux APM,%
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS Linux APM,%
CPU interrupt time,"system.cpu.util[,interrupt]",1m,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS Linux APM,%
CPU iowait time,"system.cpu.util[,iowait]",1m,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OS Linux APM,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS Linux APM,%
CPU softirq time,"system.cpu.util[,softirq]",1m,0,The amount of time the CPU has been servicing software interrupts.,CPU,,Template OS Linux APM,%
CPU steal time,"system.cpu.util[,steal]",1m,0,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,CPU,,Template OS Linux APM,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS Linux APM,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS Linux APM,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS Linux APM,
Host local time,system.localtime,1m,3,,General,,Template OS Linux APM,unixtime
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS Linux APM,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS Linux APM,
System uptime,system.uptime,10m,3,,General,,Template OS Linux APM,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS Linux APM,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1s,3,,Security,,Template OS Linux APM,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS Linux APM,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Linux APM,B
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux noswap,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux noswap,
Number of running processes,"proc.num[,,run]",1s,3,Number of processes in running state.,Processes,,Template OS Linux noswap,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS Linux noswap,
Host boot time,system.boottime,10m,3,,General,,Template OS Linux noswap,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS Linux noswap,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux noswap,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux noswap,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux noswap,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS Linux noswap,sps
CPU guest time,"system.cpu.util[,guest]",1m,0,The time spent running a virtual CPU for guest operating systems,CPU,,Template OS Linux noswap,%
CPU guest nice time,"system.cpu.util[,guest_nice]",1m,0,The time spent running a niced guest (virtual CPU for guest operating systems),CPU,,Template OS Linux noswap,%
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS Linux noswap,%
CPU interrupt time,"system.cpu.util[,interrupt]",1m,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS Linux noswap,%
CPU iowait time,"system.cpu.util[,iowait]",1m,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OS Linux noswap,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS Linux noswap,%
CPU softirq time,"system.cpu.util[,softirq]",1m,0,The amount of time the CPU has been servicing software interrupts.,CPU,,Template OS Linux noswap,%
CPU steal time,"system.cpu.util[,steal]",1m,0,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,CPU,,Template OS Linux noswap,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS Linux noswap,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS Linux noswap,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS Linux noswap,
Host local time,system.localtime,1m,3,,General,,Template OS Linux noswap,unixtime
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS Linux noswap,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS Linux noswap,
System uptime,system.uptime,10m,3,,General,,Template OS Linux noswap,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS Linux noswap,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1s,3,,Security,,Template OS Linux noswap,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS Linux noswap,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Linux noswap,B
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux_MySQL,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Linux_MySQL,
Number of running processes,"proc.num[,,run]",1s,3,Number of processes in running state.,Processes,,Template OS Linux_MySQL,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS Linux_MySQL,
Host boot time,system.boottime,10m,3,,General,,Template OS Linux_MySQL,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS Linux_MySQL,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux_MySQL,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux_MySQL,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Linux_MySQL,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS Linux_MySQL,sps
CPU guest time,"system.cpu.util[,guest]",1m,0,The time spent running a virtual CPU for guest operating systems,CPU,,Template OS Linux_MySQL,%
CPU guest nice time,"system.cpu.util[,guest_nice]",1m,0,The time spent running a niced guest (virtual CPU for guest operating systems),CPU,,Template OS Linux_MySQL,%
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS Linux_MySQL,%
CPU interrupt time,"system.cpu.util[,interrupt]",1m,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS Linux_MySQL,%
CPU iowait time,"system.cpu.util[,iowait]",1m,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OS Linux_MySQL,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS Linux_MySQL,%
CPU softirq time,"system.cpu.util[,softirq]",1m,0,The amount of time the CPU has been servicing software interrupts.,CPU,,Template OS Linux_MySQL,%
CPU steal time,"system.cpu.util[,steal]",1m,0,The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).,CPU,,Template OS Linux_MySQL,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS Linux_MySQL,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS Linux_MySQL,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS Linux_MySQL,
Host local time,system.localtime,1m,3,,General,,Template OS Linux_MySQL,unixtime
Free swap space,"system.swap.size[,free]",1m,3,,Memory,,Template OS Linux_MySQL,B
Free swap space in %,"system.swap.size[,pfree]",1m,0,,Memory,,Template OS Linux_MySQL,%
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS Linux_MySQL,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS Linux_MySQL,
System uptime,system.uptime,10m,3,,General,,Template OS Linux_MySQL,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS Linux_MySQL,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1s,3,,Security,,Template OS Linux_MySQL,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS Linux_MySQL,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Linux_MySQL,B
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Mac OS X,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Mac OS X,
Incoming network traffic on en0,net.if.in[en0],1m,3,,Network interfaces,,Template OS Mac OS X,bps
Outgoing network traffic on en0,net.if.out[en0],1m,3,,Network interfaces,,Template OS Mac OS X,bps
Host boot time,system.boottime,10m,3,,General,,Template OS Mac OS X,unixtime
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Mac OS X,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Mac OS X,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Mac OS X,
Host name,system.hostname,1h,1,System host name.,General,,Template OS Mac OS X,
Host local time,system.localtime,1m,3,,General,,Template OS Mac OS X,unixtime
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS Mac OS X,
System uptime,system.uptime,10m,3,,General,,Template OS Mac OS X,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS Mac OS X,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1h,3,,Security,,Template OS Mac OS X,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS Mac OS X,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Mac OS X,B
Maximum number of opened files,kernel.maxfiles,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS OpenBSD,
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS OpenBSD,
Number of running processes,"proc.num[,,run]",1m,3,Number of processes in running state.,Processes,,Template OS OpenBSD,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS OpenBSD,
Host boot time,system.boottime,10m,3,,General,,Template OS OpenBSD,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS OpenBSD,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS OpenBSD,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS OpenBSD,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS OpenBSD,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS OpenBSD,sps
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS OpenBSD,%
CPU interrupt time,"system.cpu.util[,interrupt]",1m,0,The amount of time the CPU has been servicing hardware interrupts.,CPU,,Template OS OpenBSD,%
CPU nice time,"system.cpu.util[,nice]",1m,0,The time the CPU has spent running users' processes that have been niced.,CPU,,Template OS OpenBSD,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS OpenBSD,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS OpenBSD,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS OpenBSD,
Host local time,system.localtime,1m,3,,General,,Template OS OpenBSD,unixtime
Free swap space,"system.swap.size[,free]",1m,3,,Memory,,Template OS OpenBSD,B
Free swap space in %,"system.swap.size[,pfree]",1m,0,,Memory,,Template OS OpenBSD,%
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS OpenBSD,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS OpenBSD,
System uptime,system.uptime,10m,3,,General,,Template OS OpenBSD,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS OpenBSD,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1h,3,,Security,,Template OS OpenBSD,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS OpenBSD,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS OpenBSD,B
Maximum number of processes,kernel.maxproc,1h,3,It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.,OS,,Template OS Solaris,
Number of running processes,"proc.num[,,run]",1m,3,Number of processes in running state.,Processes,,Template OS Solaris,
Number of processes,proc.num[],1m,3,Total number of processes in any state.,Processes,,Template OS Solaris,
Host boot time,system.boottime,10m,3,,General,,Template OS Solaris,unixtime
Interrupts per second,system.cpu.intr,1m,3,,CPU,,Template OS Solaris,ips
Processor load (1 min average per core),"system.cpu.load[percpu,avg1]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Solaris,
Processor load (5 min average per core),"system.cpu.load[percpu,avg5]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Solaris,
Processor load (15 min average per core),"system.cpu.load[percpu,avg15]",1m,0,The processor load is calculated as system CPU load divided by number of CPU cores.,CPU,,Template OS Solaris,
Context switches per second,system.cpu.switches,1m,3,,CPU,,Template OS Solaris,sps
CPU idle time,"system.cpu.util[,idle]",1m,0,The time the CPU has spent doing nothing.,CPU,,Template OS Solaris,%
CPU iowait time,"system.cpu.util[,iowait]",1m,0,Amount of time the CPU has been waiting for I/O to complete.,CPU,,Template OS Solaris,%
CPU system time,"system.cpu.util[,system]",1m,0,The time the CPU has spent running the kernel and its processes.,CPU,,Template OS Solaris,%
CPU user time,"system.cpu.util[,user]",1m,0,The time the CPU has spent running users' processes that are not niced.,CPU,,Template OS Solaris,%
Host name,system.hostname,1h,1,System host name.,General,,Template OS Solaris,
Host local time,system.localtime,1m,3,,General,,Template OS Solaris,unixtime
Free swap space,"system.swap.size[,free]",1m,3,,Memory,,Template OS Solaris,B
Free swap space in %,"system.swap.size[,pfree]",1m,0,,Memory,,Template OS Solaris,%
